Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check,predicted_log_sigma,predicted_sigma
Li6.500Al0.10La3Zr1.80Ta0.20O12,6.5,Al,0.1,Ta,0.2,Al+Ta,0.0,-3.550844628153274,0.000281290698728696
Li6.450Al0.10La3Zr1.75Sb0.25O12,6.45,Al,0.1,Sb,0.25,Al+Sb,0.0,-3.5524495911558223,0.00028025308943804817
Li6.250Al0.15La3Zr1.70Sb0.30O12,6.25,Al,0.15,Sb,0.3,Al+Sb,0.0,-3.5528417043204303,0.0002800001704246398
Li6.300Al0.15La3Zr1.75Sb0.25O12,6.3,Al,0.15,Sb,0.25,Al+Sb,0.0,-3.553608749485568,0.0002795060742914923
Li6.500Ga0.10La3Zr1.90W0.10O12,6.5,Ga,0.1,W,0.1,Ga+W,0.0,-3.5566164131284967,0.0002775770697890937
Li6.350Al0.15La3Zr1.80Sb0.20O12,6.35,Al,0.15,Sb,0.2,Al+Sb,0.0,-3.558666292893652,0.0002762699869063447
Li6.600Ga0.10La3Zr1.90Nb0.10O12,6.6,Ga,0.1,Nb,0.1,Ga+Nb,0.0,-3.577049409785607,0.0002648198835261452
Li6.600Ga0.10La3Zr1.90Sb0.10O12,6.6,Ga,0.1,Sb,0.1,Ga+Sb,0.0,-3.577049409785607,0.0002648198835261452
Li6.600Ga0.10La3Zr1.90Ta0.10O12,6.6,Ga,0.1,Ta,0.1,Ga+Ta,0.0,-3.581923784805225,0.0002618642518635464
Li6.500Al0.10La3Zr1.80Sb0.20O12,6.5,Al,0.1,Sb,0.2,Al+Sb,0.0,-3.5850571867746375,0.00025998172034169537
Li6.200Al0.20La3Zr1.90W0.10O12,6.2,Al,0.2,W,0.1,Al+W,0.0,-3.627854858501502,0.000235583647443186
Li6.300Al0.20La3Zr1.90Sb0.10O12,6.3,Al,0.2,Sb,0.1,Al+Sb,0.0,-3.6475037762481044,0.00022516258384742854
Li6.300Al0.20La3Zr1.90Nb0.10O12,6.3,Al,0.2,Nb,0.1,Al+Nb,0.0,-3.6475037762481044,0.00022516258384742854
Li6.300Al0.20La3Zr1.90Ta0.10O12,6.3,Al,0.2,Ta,0.1,Al+Ta,0.0,-3.649595942996112,0.0002240804959384442
Li6.350Al0.15La3Zr1.90W0.10O12,6.35,Al,0.15,W,0.1,Al+W,0.0,-3.6765290867644023,0.0002106060841369068
Li6.150Al0.25La3Zr1.90Nb0.10O12,6.15,Al,0.25,Nb,0.1,Al+Nb,0.0,-3.712320470137245,0.00019394542072458858
Li6.150Al0.25La3Zr1.90Sb0.10O12,6.15,Al,0.25,Sb,0.1,Al+Sb,0.0,-3.712320470137245,0.00019394542072458858
Li6.150Al0.25La3Zr1.90Ta0.10O12,6.15,Al,0.25,Ta,0.1,Al+Ta,0.0,-3.71418462509683,0.00019311471828646281
Li6.500Al0.10La3Zr1.90W0.10O12,6.5,Al,0.1,W,0.1,Al+W,0.0,-3.7172972969728835,0.00019173557624082367
Li6.600Al0.10La3Zr1.90Sb0.10O12,6.6,Al,0.1,Sb,0.1,Al+Sb,0.0,-3.7253030184944476,0.00018823352771871353
Li6.600Al0.10La3Zr1.90Nb0.10O12,6.6,Al,0.1,Nb,0.1,Al+Nb,0.0,-3.7253030184944476,0.00018823352771871353
Li6.600Al0.10La3Zr1.90Ta0.10O12,6.6,Al,0.1,Ta,0.1,Al+Ta,0.0,-3.7266739682143117,0.00018764026247941747
Li6.450Al0.15La3Zr1.90Nb0.10O12,6.45,Al,0.15,Nb,0.1,Al+Nb,0.0,-3.7599181148236287,0.00017381285177928848
Li6.450Al0.15La3Zr1.90Sb0.10O12,6.45,Al,0.15,Sb,0.1,Al+Sb,0.0,-3.7599181148236287,0.00017381285177928848
Li6.450Al0.15La3Zr1.90Ta0.10O12,6.45,Al,0.15,Ta,0.1,Al+Ta,0.0,-3.763309514005483,0.00017246083559976718
